place_id,name_norm,reason,routes_serving
PB_557b2513,방어진시외터미널,uncovered_circular_only,31
PB_5618d5e7,중앙병원,uncovered_circular_only,921
PB_575b1bd4,유마트,uncovered_circular_only,931
PB_5937e0cd,양지,non_backbone_variant_only,308
PB_5bb9aba0,명동,uncovered_circular_only,울주06
PB_5bdb8f4d,한마음마트,uncovered_circular_only,31|36
PB_5d1664af,동구보훈복지회관,uncovered_circular_only,931
PB_5d80a24c,매곡중학교,uncovered_circular_only,944
PB_5e4d2ce7,신정중학교앞,uncovered_circular_only,921|925|928
PB_5f5066d4,산하중앙사거리,out_of_universe_only,5003
PB_64302fe4,선창골못,non_backbone_variant_only,949
PB_64b954f5,사일,uncovered_circular_only,울주03
PB_64fb8f62,한국케이블공사앞,uncovered_circular_only,925|975
PB_65a5e563,현대글로비스,non_backbone_variant_only,246
PB_65b56ef6,숭의빌딩,uncovered_circular_only,923
PB_65b75c3b,롯데인벤스,uncovered_circular_only,921
PB_68a6b8e5,울산전철변전소,non_backbone_variant_only,308
PB_6acd79e0,반계,non_backbone_variant_only,61|62
PB_6bbaae93,연지암입구,non_backbone_variant_only,940
PB_6bcc6efc,방어진성당사거리,uncovered_circular_only,31|36
PB_6c1de662,휴먼시아.엘크루정문,uncovered_circular_only,32
PB_6d0892d7,남목한신아파트,non_backbone_variant_only,33
PB_702a3f60,은월아파트앞,uncovered_circular_only,925
PB_70ae6a53,진동마을,uncovered_circular_only,울주02
PB_71619d79,울산대공원정문,uncovered_circular_only,921
PB_729f4cb5,수질연구소,non_backbone_variant_only,235
PB_72d370f9,활천마을,non_backbone_variant_only,308
PB_73e5ec6c,청송사입구,non_backbone_variant_only,957
PB_743bc856,늘푸른아파트,uncovered_circular_only,32
PB_746f5827,화물공제조합,uncovered_circular_only,927
PB_75d9003a,길천,uncovered_circular_only,울주02
PB_76c68848,니프코,non_backbone_variant_only,328
PB_776b3cfe,자동차부품혁신센터,non_backbone_variant_only,122|442|702|940
PB_77f49523,남부초등학교,uncovered_circular_only,923|929
PB_797f3d2f,화산보건진료소(기점),non_backbone_variant_only,715
PB_7a66ca86,엘크루202동,uncovered_circular_only,932
PB_7b134b9f,전하후생관,uncovered_circular_only,31|32|36|931
PB_7b5ec80b,탐스코리아,non_backbone_variant_only,948
PB_7ceacf12,담안마을,non_backbone_variant_only,957
PB_802dc752,한진중공업앞,mixed_nonbackbone,236|236 지원2
PB_80f4f2bf,서울산톨게이트,no_pattern,
PB_80f8b1b8,아랫귀지,uncovered_circular_only,울주01
PB_8121032b,물먹는골,non_backbone_variant_only,943
PB_82766182,동백아파트앞,mixed_nonbackbone,50|53
PB_82b93fa3,금란유치원,uncovered_circular_only,921
PB_82e52b40,대성빌라,uncovered_circular_only,31
PB_830c8b71,문현고등학교,uncovered_circular_only,931
PB_83f531d2,남부교회,uncovered_circular_only,925|975
PB_851d485d,온산농협,mixed_nonbackbone,50|53
PB_878f35d4,어울림아파트,uncovered_circular_only,921|922|928
PB_887272da,내광종점,uncovered_circular_only,울주01
PB_8882ca78,초전마을,uncovered_circular_only,울주07
PB_88f0fc22,전하시장,uncovered_circular_only,31|32|36
PB_8a92387e,와지공단,non_backbone_variant_only,61
PB_8b817424,대우푸르지오아파트,uncovered_circular_only,927
PB_8beaefe1,동부3단지아파트,uncovered_circular_only,923|929
PB_8c0731e1,노포동역,out_of_universe_only,1127|1137|1147
PB_8c90c49f,듀퐁앞,mixed_nonbackbone,236|236 지원2
PB_8cc25c32,내고산,no_pattern,
PB_8ccf18d4,외와,non_backbone_variant_only,308
PB_8e5b3ee7,무룡고개,non_backbone_variant_only,943
PB_8ea7454e,기백교,non_backbone_variant_only,940
PB_8efb9454,중앙공업,non_backbone_variant_only,214|226
PB_905b4479,대원정밀,non_backbone_variant_only,948
PB_913606c9,오에스,non_backbone_variant_only,214|226
PB_923761c9,강남고등학교,uncovered_circular_only,925|975
PB_94bf2730,활어직판장,uncovered_circular_only,981
PB_94e324a8,태화로터리,no_pattern,
PB_962fafbe,푸른아파트앞,uncovered_circular_only,925|928
PB_96345577,방어동행정복지센터,uncovered_circular_only,31
PB_96ca4aac,통천교앞,uncovered_circular_only,951
PB_9782631b,한라한빛아파트,uncovered_circular_only,31|32|36
PB_984c1fca,교동주공.계룡리슈빌입구,out_of_universe_only,1723
PB_98586af9,밭외,non_backbone_variant_only,308
PB_9a6bfcf9,엠코타운,uncovered_circular_only,944
PB_9b553815,동천탕,uncovered_circular_only,31|36
PB_9b792f64,내와,non_backbone_variant_only,308
PB_9c47b2ee,삼정암,non_backbone_variant_only,308
PB_9dc38bc4,동진성끝,uncovered_circular_only,31|36|932
PB_9f8aaebd,벽산아파트,uncovered_circular_only,32
PB_a07f9408,달곡당수나무,non_backbone_variant_only,943
PB_a285199d,관문성입구,non_backbone_variant_only,949
PB_a4fcf3a0,방어진성당,uncovered_circular_only,31|36
PB_a708eb2a,현대골프,uncovered_circular_only,931
PB_a74e9e4c,당수,non_backbone_variant_only,308
PB_a75de0e7,석천마을,uncovered_circular_only,951
PB_a8c1ffbc,중점,non_backbone_variant_only,308
PB_aa22f32a,마디정형외과,uncovered_circular_only,32
PB_abdf567a,울산화력본부앞,mixed_nonbackbone,236|236 지원2
PB_ac1e8caf,방어진우체국,uncovered_circular_only,931
PB_ac3eeb78,방어진터미널,uncovered_circular_only,31
PB_ae3ec359,보현사입구,uncovered_circular_only,976
PB_ae64c147,옥동현대아파트앞,uncovered_circular_only,921|925|928
PB_ae7b20b5,축협앞,uncovered_circular_only,925|975
PB_af74b229,SK에너지앞,mixed_nonbackbone,236|236 지원2
PB_b008c6ae,꽃바위성당,uncovered_circular_only,931
PB_b07dbe02,성동마을회관,non_backbone_variant_only,15
PB_b13d9164,신정현대홈타운앞,uncovered_circular_only,921|923|928|929
PB_b2e07d9c,방어진고등학교,uncovered_circular_only,31|36|932
PB_b32470ef,외광마을,uncovered_circular_only,울주01
PB_b3cd79a1,중귀지,uncovered_circular_only,울주01
PB_b3fbf88b,울산기술공업고등학교,mixed_nonbackbone,50|53
PB_b48367be,전하E편한세상,uncovered_circular_only,31|32|36|931
PB_b48b80d3,대송중학교,uncovered_circular_only,31|36|932
PB_b6079d12,리한,non_backbone_variant_only,122|442|702|940
PB_b6a7966c,SKC앞,mixed_nonbackbone,236|236 지원2
PB_b6e0ddb4,덕현,non_backbone_variant_only,61|62
PB_b74d2fa9,엘크루후문,uncovered_circular_only,32
PB_b8df2195,호수공원축구장,uncovered_circular_only,976
PB_b8ecd807,문수로아이파크,uncovered_circular_only,921
PB_b95743c5,전하인쇄사,uncovered_circular_only,31|36
PB_bb591d1d,양천마을회관,non_backbone_variant_only,235
PB_bc2dcf0f,대한의원.하늘샘교회,uncovered_circular_only,31|36
PB_bcefb5cd,울산대공원동문앞,uncovered_circular_only,921
PB_bd299d93,옥천암입구,non_backbone_variant_only,943
PB_be212303,유곡푸르지오,non_backbone_variant_only,12
PB_bed859c5,동평중학교,uncovered_circular_only,923|929
PB_c07db06b,동부아파트104동,uncovered_circular_only,923|929
PB_c0b413eb,FCC삼거리,mixed_nonbackbone,236|236 지원2
PB_c13db518,달동사거리,uncovered_circular_only,923
PB_c1cd8c2f,산록회관,uncovered_circular_only,32
PB_c21df485,꽃바위아파트,uncovered_circular_only,931
PB_c2634d0f,동울산시장,uncovered_circular_only,32|931
PB_c2c662ec,동구문화원,uncovered_circular_only,32
PB_c37784ef,남목청구아파트,non_backbone_variant_only,33
PB_c3f23205,남천공원,uncovered_circular_only,343
PB_c43cd7f8,감시국사택,uncovered_circular_only,울주02
PB_c4561b39,방어진농협,uncovered_circular_only,36
PB_c4a796e3,반계입구,non_backbone_variant_only,61
PB_c5cb9e07,일산수산물판매센터입구,uncovered_circular_only,932
PB_c5cd87e5,광명교회,uncovered_circular_only,31|36
PB_c66d3acb,서강파크앞,uncovered_circular_only,921|925|928
PB_c6835c07,삼성자동차학원,uncovered_circular_only,929
PB_c71c79a3,방어진제일교회,uncovered_circular_only,31|36|931
PB_c836b0cc,방어진시외버스터미널,uncovered_circular_only,36
PB_c903b135,남양그린빌,uncovered_circular_only,929
PB_c90daf45,남산초등학교,uncovered_circular_only,921
PB_c9480a5b,수문마을회관,non_backbone_variant_only,955
PB_cabf290c,화산삼거리,uncovered_circular_only,울주02
PB_cb07b18a,외국인투자기업단지입구,mixed_nonbackbone,236|236 지원2
PB_cb10ec67,대륙2차현대아파트앞,uncovered_circular_only,921|925|928
PB_cbf9df84,동진수협,uncovered_circular_only,31|36|932
PB_cca067e5,현대백화점,uncovered_circular_only,922|925|975
PB_cd0eeb46,국제선청사,no_pattern,
PB_cdbc2380,극동스타클래스,uncovered_circular_only,922|925|975
PB_d090229e,화암촛등공원,uncovered_circular_only,931
PB_d1445ded,파라다이스703동,uncovered_circular_only,31|32|36
PB_d1b94b93,한국제지사택,mixed_nonbackbone,50|53
PB_d3d1f0a5,문수초등학교정문,mixed_nonbackbone,924|924 지원2|957
PB_d4856606,언삼교,out_of_universe_only,1723
PB_d4d627f4,문수로2차아이파크,uncovered_circular_only,928|975
PB_d5a99232,동부경찰서,uncovered_circular_only,31|32|36
PB_d7216538,중고산마을입구,non_backbone_variant_only,50
PB_dd48be78,현도골든빌리지,uncovered_circular_only,931
