name_norm,place_id_a,place_id_b,gap_m,n_clusters_of_name
태화로터리,PB_4b61ce04,PB_ccea4541,179.237,3
태화로터리,PB_94e324a8,PB_ccea4541,225.478,3
태화로터리,PB_4b61ce04,PB_94e324a8,341.514,3
태화중학교,PB_2a6202da,PB_cae48fff,211.126,2
하서,PB_01d73eec,PB_d4230d1f,32302.24,2
현대백화점,PB_ae17a33b,PB_cca067e5,8889.763,2
현대자동차 정문,PB_dbf5064a,PB_f6546d9b,259.273,2
현대자동차2공장,PB_4638c159,PB_c466ab8a,178.817,2
현대자동차4공장앞,PB_4bfec968,PB_e1d2e31f,208.092,2
현대중공업 울산대학병원,PB_9a6f25a0,PB_a3eb2389,175.446,2
현대중공업일산문,PB_0ee05a7e,PB_df903759,250.956,2
홈플러스,PB_46acde03,PB_da7a3673,4557.415,2
화암,PB_ac7809d5,PB_cbba6f08,17703.824,2
화정마을,PB_ac475fb3,PB_b6d6c480,29758.042,2
화진중학교,PB_83c9713f,PB_df5ed081,153.578,3
화진중학교,PB_20f27ccd,PB_83c9713f,274.885,3
화진중학교,PB_20f27ccd,PB_df5ed081,376.632,3
효문사거리,PB_49e06870,PB_58fbdaa9,240.845,4
효문사거리,PB_49e06870,PB_bf436f64,244.4,4
효문사거리,PB_58fbdaa9,PB_8d51e0ca,267.942,4
효문사거리,PB_8d51e0ca,PB_bf436f64,305.705,4
효문사거리,PB_49e06870,PB_8d51e0ca,332.917,4
효문사거리,PB_58fbdaa9,PB_bf436f64,408.056,4
효성,PB_973e8b56,PB_e7a70c20,178.784,2
